grouping,group_value,n_events
treatment_category,new_team,1164
treatment_category,re_signed_standard,1749
treatment_category,re_signed_supermax,13
contract_type,roster_continuity,1749
contract_type,supermax,12
contract_type,supermax_partial,1
contract_type,team_change,1164
yos_band,NA,2926
contract_start_season,2017-18,360
contract_start_season,2018-19,336
contract_start_season,2019-20,347
contract_start_season,2020-21,348
contract_start_season,2021-22,399
contract_start_season,2022-23,364
contract_start_season,2023-24,388
contract_start_season,2024-25,384
