player_name,signing_date,signing_team,contract_start_season,total_value,contract_years,kind,prior_team_bbref,note_raw,is_designated_veteran,supermax_full_35pct,qualifying_basis,source_url
Russell Westbrook,2017-09-29,OKC,2018-19,205000000,5,designated_veteran_extension,OKC,5-Yr designated veteran extension,TRUE,TRUE,MVP 2017,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
James Harden,2017-07-08,HOU,2019-20,170000000,4,designated_veteran_extension,HOU,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2017,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
John Wall,2017-07-29,WAS,2019-20,170000000,4,designated_veteran_extension,WAS,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2017,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Stephen Curry,2017-07-01,GSW,2017-18,201158790,5,supermax_free_agent,GSW,5-Yr designated veteran free agent contract,FALSE,TRUE,All-NBA 2015 and 2016,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Damian Lillard,2019-07-06,POR,2021-22,196000000,4,designated_veteran_extension,POR,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2019,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Giannis Antetokounmpo,2020-12-15,MIL,2021-22,228200420,5,designated_veteran_extension,MIL,5-Yr designated veteran extension,TRUE,TRUE,MVP 2019,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Rudy Gobert,2020-12-21,UTA,2021-22,205000000,5,designated_veteran_extension,UTA,5-Yr designated veteran extension started near 31.4 pct of cap,TRUE,FALSE,DPOY 2018 and 2019,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Joel Embiid,2021-08-17,PHI,2023-24,213280928,4,designated_veteran_extension,PHI,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2021,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Nikola Jokic,2022-07-06,DEN,2023-24,276122630,5,designated_veteran_extension,DEN,5-Yr designated veteran extension,TRUE,TRUE,MVP 2021,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Devin Booker,2022-07-09,PHX,2024-25,224000000,4,designated_veteran_extension,PHX,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2022,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Karl-Anthony Towns,2022-08-02,MIN,2024-25,220441984,4,designated_veteran_extension,MIN,4-Yr designated veteran extension,TRUE,TRUE,All-NBA 2022,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Jaylen Brown,2023-07-25,BOS,2024-25,304000000,5,designated_veteran_extension,BOS,5-Yr designated veteran extension,TRUE,TRUE,All-NBA 2023,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
Jayson Tatum,2024-07-01,BOS,2025-26,314000000,5,designated_veteran_extension,BOS,5-Yr designated veteran extension,TRUE,TRUE,All-NBA 2024,https://www.hoopsrumors.com/2022/09/players-who-have-signed-designated-veteran-contracts.html
