player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Aaron Brooks,2015-16,-2.6,-1.3,-1.3,1108,69,31,bpm_basketball_reference
Aaron Gordon,2015-16,1,0.9,0.1,1863,78,20,bpm_basketball_reference
Aaron Harrison,2015-16,-6.3,-7.2,0.9,93,21,21,bpm_basketball_reference
Adreian Payne,2015-16,-6.2,-6.1,-0.2,486,52,24,bpm_basketball_reference
Al Horford,2015-16,3.8,2.2,1.6,2631,82,29,bpm_basketball_reference
Al Jefferson,2015-16,-0.5,-0.9,0.4,1096,47,31,bpm_basketball_reference
Al-Farouq Aminu,2015-16,0.1,-0.2,0.2,2341,82,25,bpm_basketball_reference
Alan Anderson,2015-16,-2.3,-2.4,0.1,192,13,33,bpm_basketball_reference
Alan Williams,2015-16,-0.2,-2,1.8,68,10,23,bpm_basketball_reference
Alec Burks,2015-16,-0.4,0.2,-0.6,797,31,24,bpm_basketball_reference
Alex Len,2015-16,-4.3,-3.5,-0.8,1821,78,22,bpm_basketball_reference
Alex Stepheson,2015-16,-2.4,-0.5,-2,73,8,28,bpm_basketball_reference
Alexis Ajinça,2015-16,-4,-3.4,-0.6,861,59,27,bpm_basketball_reference
Allen Crabbe,2015-16,-1,-0.9,-0.1,2105,81,23,bpm_basketball_reference
Alonzo Gee,2015-16,-2.6,-3.2,0.6,1632,73,28,bpm_basketball_reference
Amar'e Stoudemire,2015-16,-0.6,-1.3,0.6,762,52,33,bpm_basketball_reference
Amir Johnson,2015-16,1.2,-0.4,1.6,1800,79,28,bpm_basketball_reference
Anderson Varejão,2015-16,-2.9,-3.5,0.6,496,53,33,bpm_basketball_reference
Andre Drummond,2015-16,1.1,0.8,0.3,2666,81,22,bpm_basketball_reference
Andre Iguodala,2015-16,1.1,-0.2,1.3,1732,65,32,bpm_basketball_reference
Andre Miller,2015-16,-1.9,-1.4,-0.5,461,39,39,bpm_basketball_reference
Andre Roberson,2015-16,0.5,-0.7,1.3,1553,70,24,bpm_basketball_reference
Andrea Bargnani,2015-16,-5.1,-2.6,-2.6,634,46,30,bpm_basketball_reference
Andrew Bogut,2015-16,2.4,-0.9,3.2,1451,70,31,bpm_basketball_reference
Andrew Goudelock,2015-16,-3.6,-5.4,1.8,50,8,27,bpm_basketball_reference
Andrew Nicholson,2015-16,-1.1,0,-1.1,823,56,26,bpm_basketball_reference
Andrew Wiggins,2015-16,-1.3,0.9,-2.2,2845,81,20,bpm_basketball_reference
Anthony Bennett,2015-16,-3.9,-2.9,-1.1,84,19,22,bpm_basketball_reference
Anthony Brown,2015-16,-5.5,-4.5,-1,599,29,23,bpm_basketball_reference
Anthony Davis,2015-16,3.9,3.6,0.4,2164,61,22,bpm_basketball_reference
Anthony Morrow,2015-16,-1.1,-0.1,-1,926,68,30,bpm_basketball_reference
Anthony Tolliver,2015-16,0.4,-0.1,0.5,1341,72,30,bpm_basketball_reference
Archie Goodwin,2015-16,-3.7,-2.1,-1.5,1114,57,21,bpm_basketball_reference
Aron Baynes,2015-16,-0.2,-0.5,0.3,1233,81,29,bpm_basketball_reference
Arron Afflalo,2015-16,-2.9,-1.3,-1.6,2371,71,30,bpm_basketball_reference
Austin Rivers,2015-16,-2.7,-2.2,-0.5,1464,67,23,bpm_basketball_reference
Avery Bradley,2015-16,-0.1,-0.4,0.3,2536,76,25,bpm_basketball_reference
Axel Toupane,2015-16,-4.7,-3.6,-1,305,21,23,bpm_basketball_reference
Ben McLemore,2015-16,-3.8,-3.1,-0.7,1443,68,22,bpm_basketball_reference
Beno Udrih,2015-16,-3.6,-2.7,-1,707,44,33,bpm_basketball_reference
Bismack Biyombo,2015-16,-0.2,-1.3,1.1,1808,82,23,bpm_basketball_reference
Blake Griffin,2015-16,4.5,3.4,1.1,1170,35,26,bpm_basketball_reference
Boban Marjanović,2015-16,4.3,3.9,0.4,508,54,27,bpm_basketball_reference
Bobby Portis,2015-16,-3.3,-1.5,-1.8,1102,62,20,bpm_basketball_reference
Bojan Bogdanović,2015-16,-3.5,-1,-2.6,2115,79,26,bpm_basketball_reference
Boris Diaw,2015-16,0.8,-0.1,0.9,1386,76,33,bpm_basketball_reference
Bradley Beal,2015-16,0.3,1.2,-0.9,1708,55,22,bpm_basketball_reference
Brandan Wright,2015-16,0.7,0,0.7,212,12,28,bpm_basketball_reference
Branden Dawson,2015-16,-5.7,-3.6,-2,29,6,22,bpm_basketball_reference
Brandon Bass,2015-16,0.6,0.6,0,1342,66,30,bpm_basketball_reference
Brandon Jennings,2015-16,-0.4,0.2,-0.7,868,48,26,bpm_basketball_reference
Brandon Knight,2015-16,-0.6,0.9,-1.5,1870,52,24,bpm_basketball_reference
Brandon Rush,2015-16,-0.8,-0.6,-0.2,1055,72,30,bpm_basketball_reference
Brian Roberts,2015-16,-1.6,-0.9,-0.7,470,51,30,bpm_basketball_reference
Briante Weber,2015-16,-3.7,-4.7,1,169,7,23,bpm_basketball_reference
Brook Lopez,2015-16,1.3,1.9,-0.5,2457,73,27,bpm_basketball_reference
Bruno Caboclo,2015-16,-17.6,-14,-3.6,43,6,20,bpm_basketball_reference
Bryce Cotton,2015-16,-8.8,-7.7,-1,39,8,23,bpm_basketball_reference
Bryce Dejean-Jones,2015-16,-2.5,-2.5,0,279,14,23,bpm_basketball_reference
C.J. Miles,2015-16,0.5,0.6,-0.1,1464,64,28,bpm_basketball_reference
C.J. Watson,2015-16,-3,-3,-0.1,656,33,31,bpm_basketball_reference
C.J. Wilcox,2015-16,-1.5,-2.6,1.1,167,23,25,bpm_basketball_reference
CJ McCollum,2015-16,1.3,2.3,-1,2780,80,24,bpm_basketball_reference
Cameron Bairstow,2015-16,-7.5,-6.7,-0.9,103,18,25,bpm_basketball_reference
Cameron Payne,2015-16,-0.7,-1.3,0.6,698,57,21,bpm_basketball_reference
Carl Landry,2015-16,1.2,2.6,-1.4,569,36,32,bpm_basketball_reference
Carmelo Anthony,2015-16,3.3,3.8,-0.5,2530,72,31,bpm_basketball_reference
Caron Butler,2015-16,-1.8,-2.5,0.6,176,17,35,bpm_basketball_reference
Chandler Parsons,2015-16,2,1.8,0.2,1799,61,27,bpm_basketball_reference
Channing Frye,2015-16,0.8,0.3,0.5,1200,70,32,bpm_basketball_reference
Charlie Villanueva,2015-16,-2.7,-1.9,-0.8,665,62,31,bpm_basketball_reference
Chase Budinger,2015-16,-1.3,-1.8,0.5,929,66,27,bpm_basketball_reference
Chris Andersen,2015-16,0.7,0.7,0,402,27,37,bpm_basketball_reference
Chris Bosh,2015-16,4,3.6,0.5,1778,53,31,bpm_basketball_reference
Chris Copeland,2015-16,-6.4,-3.3,-3.1,156,24,31,bpm_basketball_reference
Chris Johnson,2015-16,-2,-3.3,1.3,857,70,25,bpm_basketball_reference
Chris Kaman,2015-16,-3.6,-2.6,-1,112,16,33,bpm_basketball_reference
Chris McCullough,2015-16,-2.4,-2.7,0.4,362,24,20,bpm_basketball_reference
Chris Paul,2015-16,7.9,5.9,2,2420,74,30,bpm_basketball_reference
Christian Wood,2015-16,-0.2,0.4,-0.6,145,17,20,bpm_basketball_reference
Chuck Hayes,2015-16,-8.1,-8.6,0.4,24,2,32,bpm_basketball_reference
Cleanthony Early,2015-16,-8.6,-7.2,-1.5,154,17,24,bpm_basketball_reference
Cliff Alexander,2015-16,0,-0.5,0.5,36,8,20,bpm_basketball_reference
Clint Capela,2015-16,-0.4,-0.3,-0.1,1471,77,21,bpm_basketball_reference
Cody Zeller,2015-16,-0.1,-1.1,1,1774,73,23,bpm_basketball_reference
Cole Aldrich,2015-16,2.4,-0.9,3.4,800,60,27,bpm_basketball_reference
Corey Brewer,2015-16,-2.9,-2.7,-0.3,1669,82,29,bpm_basketball_reference
Cory Jefferson,2015-16,-6.4,-2.7,-3.7,50,8,25,bpm_basketball_reference
Cory Joseph,2015-16,-1.2,-1.1,-0.1,2046,80,24,bpm_basketball_reference
Coty Clarke,2015-16,16.5,15.5,1,6,3,23,bpm_basketball_reference
Courtney Lee,2015-16,-1,-1.3,0.3,2334,79,30,bpm_basketball_reference
