event_id,player_name,season,contract_start_season,signing_offseason_year,pre_signing_season,prior_team,signing_team,incumbent,treatment_category,contract_type,contract_years,age_at_signing,games_pre,years_of_service,yos_band,is_designated_veteran,supermax_full_35pct,average_annual_value,cap_percentage_at_signing
aaron_brooks_2017_MIN,Aaron Brooks,2017-18,2017-18,2017,2016-17,IND,MIN,FALSE,new_team,team_change,3,32,79,NA,NA,FALSE,FALSE,NA,NA
aaron_gordon_2017_ORL,Aaron Gordon,2017-18,2017-18,2017,2016-17,ORL,ORL,TRUE,re_signed_standard,roster_continuity,3,21,82,NA,NA,FALSE,FALSE,NA,NA
adreian_payne_2017_ORL,Adreian Payne,2017-18,2017-18,2017,2016-17,MIN,ORL,FALSE,new_team,team_change,3,25,74,NA,NA,FALSE,FALSE,NA,NA
aj_hammons_2017_MIA,AJ Hammons,2017-18,2017-18,2017,2016-17,DAL,MIA,FALSE,new_team,team_change,3,24,45,NA,NA,FALSE,FALSE,NA,NA
al_horford_2017_BOS,Al Horford,2017-18,2017-18,2017,2016-17,BOS,BOS,TRUE,re_signed_standard,roster_continuity,3,30,68,NA,NA,FALSE,FALSE,NA,NA
al_jefferson_2017_IND,Al Jefferson,2017-18,2017-18,2017,2016-17,IND,IND,TRUE,re_signed_standard,roster_continuity,3,32,79,NA,NA,FALSE,FALSE,NA,NA
al-farouq_aminu_2017_POR,Al-Farouq Aminu,2017-18,2017-18,2017,2016-17,POR,POR,TRUE,re_signed_standard,roster_continuity,3,26,66,NA,NA,FALSE,FALSE,NA,NA
alan_williams_2017_PHX,Alan Williams,2017-18,2017-18,2017,2016-17,PHX,PHX,TRUE,re_signed_standard,roster_continuity,3,24,82,NA,NA,FALSE,FALSE,NA,NA
alec_burks_2017_UTA,Alec Burks,2017-18,2017-18,2017,2016-17,UTA,UTA,TRUE,re_signed_standard,roster_continuity,3,25,47,NA,NA,FALSE,FALSE,NA,NA
alex_abrines_2017_OKC,Alex Abrines,2017-18,2017-18,2017,2016-17,OKC,OKC,TRUE,re_signed_standard,roster_continuity,3,23,77,NA,NA,FALSE,FALSE,NA,NA
alex_len_2017_PHX,Alex Len,2017-18,2017-18,2017,2016-17,PHX,PHX,TRUE,re_signed_standard,roster_continuity,3,23,81,NA,NA,FALSE,FALSE,NA,NA
allen_crabbe_2017_BKN,Allen Crabbe,2017-18,2017-18,2017,2016-17,POR,BKN,FALSE,new_team,team_change,3,24,82,NA,NA,FALSE,FALSE,NA,NA
amir_johnson_2017_PHI,Amir Johnson,2017-18,2017-18,2017,2016-17,BOS,PHI,FALSE,new_team,team_change,3,29,81,NA,NA,FALSE,FALSE,NA,NA
andre_drummond_2017_DET,Andre Drummond,2017-18,2017-18,2017,2016-17,DET,DET,TRUE,re_signed_standard,roster_continuity,3,23,81,NA,NA,FALSE,FALSE,NA,NA
andre_iguodala_2017_GSW,Andre Iguodala,2017-18,2017-18,2017,2016-17,GSW,GSW,TRUE,re_signed_standard,roster_continuity,3,33,78,NA,NA,FALSE,FALSE,NA,NA
andre_roberson_2017_OKC,Andre Roberson,2017-18,2017-18,2017,2016-17,OKC,OKC,TRUE,re_signed_standard,roster_continuity,3,25,81,NA,NA,FALSE,FALSE,NA,NA
andrew_bogut_2017_LAL,Andrew Bogut,2017-18,2017-18,2017,2016-17,CLE,LAL,FALSE,new_team,team_change,3,32,42,NA,NA,FALSE,FALSE,NA,NA
andrew_harrison_2017_MEM,Andrew Harrison,2017-18,2017-18,2017,2016-17,MEM,MEM,TRUE,re_signed_standard,roster_continuity,3,22,80,NA,NA,FALSE,FALSE,NA,NA
andrew_wiggins_2017_MIN,Andrew Wiggins,2017-18,2017-18,2017,2016-17,MIN,MIN,TRUE,re_signed_standard,roster_continuity,3,21,82,NA,NA,FALSE,FALSE,NA,NA
anthony_davis_2017_NOP,Anthony Davis,2017-18,2017-18,2017,2016-17,NOP,NOP,TRUE,re_signed_standard,roster_continuity,3,23,80,NA,NA,FALSE,FALSE,NA,NA
anthony_tolliver_2017_DET,Anthony Tolliver,2017-18,2017-18,2017,2016-17,SAC,DET,FALSE,new_team,team_change,3,31,79,NA,NA,FALSE,FALSE,NA,NA
aron_baynes_2017_BOS,Aron Baynes,2017-18,2017-18,2017,2016-17,DET,BOS,FALSE,new_team,team_change,3,30,82,NA,NA,FALSE,FALSE,NA,NA
arron_afflalo_2017_ORL,Arron Afflalo,2017-18,2017-18,2017,2016-17,SAC,ORL,FALSE,new_team,team_change,3,31,76,NA,NA,FALSE,FALSE,NA,NA
austin_rivers_2017_LAC,Austin Rivers,2017-18,2017-18,2017,2016-17,LAC,LAC,TRUE,re_signed_standard,roster_continuity,3,24,78,NA,NA,FALSE,FALSE,NA,NA
