event_id,player_name,contract_start_season,contract_years,treatment_category,contract_type,pre_impact_overall_mw,pre_impact_offense_mw,pre_impact_defense_mw,pre_total_minutes,pre_seasons_valid,post_impact_overall_mw,post_impact_offense_mw,post_impact_defense_mw,post_total_minutes,post_seasons_valid,post_minutes_per_season,mis_overall,mis_offense,mis_defense,mis_data_quality
aaron_brooks_2017_MIN,Aaron Brooks,2017-18,3,new_team,team_change,-3.0912087912087913,-1.7912087912087913,-1.2553446553446552,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
aaron_gordon_2017_ORL,Aaron Gordon,2017-18,3,re_signed_standard,roster_continuity,-0.10454217736121124,0.23727469358327327,-0.3418168709444845,4161,2,0.3281750266808965,0.35162372312852574,-0.023448696447629192,6559,3,2186.3333333333335,0.43271720404210773,0.11434902954525247,0.3183681744968553,complete
adreian_payne_2017_ORL,Adreian Payne,2017-18,3,new_team,team_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
aj_hammons_2017_MIA,AJ Hammons,2017-18,3,new_team,team_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
al_horford_2017_BOS,Al Horford,2017-18,3,re_signed_standard,roster_continuity,3.6181592039800994,2.245460199004975,1.3726990049751244,4824,2,3.9101354581673307,2.3280000000000003,1.6458486055776893,6275,3,2091.6666666666665,0.2919762541872313,0.08253980099502511,0.2731496006025649,complete
al_jefferson_2017_IND,Al Jefferson,2017-18,3,re_signed_standard,roster_continuity,-0.9133695115934879,-0.6244203256043415,-0.28894918598914654,2027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
al-farouq_aminu_2017_POR,Al-Farouq Aminu,2017-18,3,re_signed_standard,roster_continuity,-0.4171609139523579,-0.7171609139523577,0.2861934856587263,4114,2,0.5575618698441797,-0.2798350137488542,0.837396883593034,4364,2,2182,0.9747227837965375,0.4373259002035035,0.5512033979343076,complete
alan_williams_2017_PHX,Alan Williams,2017-18,3,re_signed_standard,roster_continuity,-1.3,-0.7999999999999999,-0.6,708,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
alec_burks_2017_UTA,Alec Burks,2017-18,3,re_signed_standard,roster_continuity,-1.255655172413793,-0.8808275862068966,-0.32979310344827584,1450,2,-0.4121537726838586,-0.02313753581661899,-0.42184813753581657,4188,3,1396,0.8435013997299343,0.8576900503902776,-0.09205503408754073,complete
alex_abrines_2017_OKC,Alex Abrines,2017-18,3,re_signed_standard,roster_continuity,-1.6,-1.3,-0.4,1055,1,-2.114634146341463,-2.5146341463414634,0.4,1722,2,861,-0.514634146341463,-1.2146341463414634,0.8,complete
alex_len_2017_PHX,Alex Len,2017-18,3,re_signed_standard,roster_continuity,-3.377196095829636,-2.9924578527062997,-0.3847382431233363,3381,2,-0.5406242005628038,0.0900486057815298,-0.6949859299053466,3909,3,1303,2.836571895266832,3.0825064584878294,-0.31024768678201026,complete
allen_crabbe_2017_BKN,Allen Crabbe,2017-18,3,new_team,team_change,-1.1551273227804544,-0.7965817848130305,-0.35854553796742367,4359,2,-2.051518955561135,-1.2893045443133315,-0.745819733868943,3983,3,1327.6666666666667,-0.8963916327806805,-0.492722759500301,-0.3872741959015193,complete
amir_johnson_2017_PHI,Amir Johnson,2017-18,3,new_team,team_change,0.9169014084507042,-0.5415492957746478,1.458450704225352,3408,2,-0.026882352941176364,-1.729,1.7021176470588237,1700,2,850,-0.9437837613918806,-1.1874507042253524,0.24366694283347168,complete
