model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,r_squared
offense_only,treatment_categoryre_signed_supermax,0.5300334192732027,0.44871517367298486,1.1812246395293087,0.2376322153121739,-0.3498822912931987,1.409949129839604,2378,0.2712052489764579
offense_only,treatment_categorynew_team,-0.364476447165296,0.0603013515113728,-6.044250054603767,1.739051098246847e-9,-0.48272541594635426,-0.2462274783842377,2378,0.2712052489764579
offense_only,age_at_signing,-0.13488891205639553,0.007232120908540289,-18.651362962849184,1.52301184882143e-72,-0.14907086350691204,-0.12070696060587902,2378,0.2712052489764579
offense_only,pre_impact_offense_mw,-0.17137188983462828,0.014649486715003051,-11.698149782894465,9.007209395225096e-31,-0.20009905189324675,-0.1426447277760098,2378,0.2712052489764579
defense_only,treatment_categoryre_signed_supermax,-0.0642372246116642,0.23908425701676728,-0.26868027787860227,0.7881991544875768,-0.5330735961925939,0.40459914696926547,2378,0.13035252557127108
defense_only,treatment_categorynew_team,0.01797678673588205,0.03181262280343638,0.565083452784038,0.5720705774683472,-0.044406721202868815,0.08036029467463292,2378,0.13035252557127108
defense_only,age_at_signing,-0.019972992637766248,0.0038596340606341594,-5.174841014457359,2.472892567436715e-7,-0.02754160820115311,-0.012404377074379387,2378,0.13035252557127108
defense_only,pre_impact_defense_mw,-0.2250382506296044,0.013874412273410224,-16.219660061628808,3.508866347829773e-56,-0.25224551717759536,-0.19783098408161343,2378,0.13035252557127108
no_age_control,treatment_categoryre_signed_supermax,0.8439247536580815,0.6020462613988672,1.4017606416111688,0.16111784846796573,-0.33666792612143215,2.024517433437595,2378,0.1707850226423231
no_age_control,treatment_categorynew_team,-0.7070817130574987,0.0706523608967291,-10.007899298524835,4.025718962916837e-23,-0.8456286411457322,-0.5685347849692651,2378,0.1707850226423231
no_age_control,pre_impact_overall_mw,-0.26499318041865505,0.016406693867689223,-16.151528306414217,9.480265918585058e-56,-0.29716616100418614,-0.23282019983312396,2378,0.1707850226423231
no_pre_control,treatment_categoryre_signed_supermax,-0.6616822271191831,0.5626717474243867,-1.175964903423735,0.23972716168223274,-1.765062795556724,0.4416983413183577,2378,0.21305399398595093
no_pre_control,treatment_categorynew_team,-0.18081501787182896,0.07220499304956353,-2.50418994913153,0.012339995907119343,-0.3224066059331476,-0.03922342981051033,2378,0.21305399398595093
no_pre_control,age_at_signing,-0.1972853251799164,0.008107876535478373,-24.332551725058593,6.521304543587921e-117,-0.2131846011991726,-0.1813860491606602,2378,0.21305399398595093
long_contracts_only,treatment_categoryre_signed_supermax,0.47780725210843245,0.5761475807399784,0.8293139953738207,0.40701041202279886,-0.6519992212233454,1.6076137254402103,2378,0.27072696921704487
long_contracts_only,treatment_categorynew_team,-0.34510425066269157,0.06973439993187949,-4.948838034023508,7.99122521409417e-7,-0.4818511174216473,-0.20835738390373582,2378,0.27072696921704487
long_contracts_only,age_at_signing,-0.15539422867468183,0.008698995400382917,-17.86346831127668,4.727054739050594e-67,-0.17245267280146806,-0.1383357845478956,2378,0.27072696921704487
long_contracts_only,pre_impact_overall_mw,-0.18061686048396072,0.01669883809012505,-10.816133404561214,1.1994357886153652e-26,-0.21336273324647637,-0.14787098772144508,2378,0.27072696921704487
