signing_team,n_signings_total,n_supermax,n_re_signed_standard,n_new_team,n_complete,mean_mis_overall,sum_mis_overall,mean_mis_offense,mean_mis_defense,pct_positive_mis,best_mis,worst_mis
OKC,88,1,59,28,80,0.9028627616068762,72.22902092855009,0.5312336647715064,0.37663081727036046,0.675,5.65098038983289,-6.979895901106051
CLE,95,0,57,38,76,0.6620207962189066,50.313580512636904,0.41644027552708895,0.24424796232165946,0.6447368421052632,6.764706764661767,-2.6304029304029304
POR,100,1,63,36,77,0.5969185396594046,45.962727553774144,0.37795587686695087,0.21927155862088468,0.5584415584415584,4.770798285259538,-3.1217594665870534
DET,97,0,49,48,80,0.5764239699805753,46.11391759844603,0.4031072626863828,0.16513011753685128,0.6,5.0609808102345415,-5.7371791171655255
ORL,91,0,69,22,81,0.5220127773549594,42.28303496575172,0.23925532375415626,0.282862288346715,0.5555555555555556,5.876105780482097,-4.8999999999999995
IND,93,0,63,30,77,0.5210948317061379,40.124302041372616,0.393870183113654,0.14603366690801214,0.6233766233766234,6.3280695712071635,-5.8510229645093945
MEM,95,0,60,35,74,0.3735858660103919,27.645354084769,0.2698730235459306,0.1013187937658342,0.581081081081081,5.945143726051525,-4.559712037062001
BOS,95,2,65,28,77,0.3643791721747653,28.057196257456926,0.37672168084655666,-0.005723693016555203,0.5974025974025974,4.346131329139071,-4.643656356201584
SAS,93,0,65,28,73,0.20499002802050198,14.964272045496646,0.46533317809029234,-0.26709003351232463,0.547945205479452,5.512379730596535,-3.728783505154639
TOR,99,0,62,37,78,0.16047130391813358,12.51676170561442,0.07828364957582082,0.0790062769022486,0.5897435897435898,4.633039314516129,-6.836253561253561
SAC,98,0,55,43,81,0.08402599195457172,6.80610534832031,-0.011565969701285296,0.09321981708171924,0.4691358024691358,5.877123552123552,-3.485912836504421
NYK,101,0,53,48,83,0.06887953275963364,5.7170012190495925,-0.06388514615856339,0.12580143407142827,0.5903614457831325,3.51293545773697,-4.226541332596074
MIN,97,1,57,39,76,0.04790332323379782,3.640652565768634,-0.1185134673503128,0.17719949448032946,0.4605263157894737,4.2720253164556965,-3.885495495495495
CHA,90,0,63,27,79,0.04561883483877382,3.6038879522631317,0.1694140667759031,-0.13415638820870684,0.4936708860759494,4.01737400530504,-3.9
PHX,107,1,52,54,86,-0.0027641972531898163,-0.23772096377432417,-0.14218524742431152,0.1365930051215799,0.5232558139534884,3.8,-3.831267605633803
DEN,98,1,71,26,81,-0.0036092687603298482,-0.2923507695867177,-0.005446686114540721,-0.009063579550738707,0.49382716049382713,4.65105714126935,-4.5310243902439025
HOU,85,1,49,35,68,-0.05163170021184709,-3.510955614405602,-0.23077662237636357,0.17239365747052723,0.4852941176470588,4.5696914700544475,-4.713631198439542
UTA,90,1,52,37,71,-0.07909924091250584,-5.616046104787915,0.021255437309970204,-0.10312711489468292,0.43661971830985913,3.5276768941765813,-3.843027129938125
MIA,104,0,73,31,84,-0.1181170827522616,-9.921834951189973,-0.1822587208988699,0.05958118248802778,0.4523809523809524,3.823744786034296,-4.105397793945084
BKN,103,0,50,53,88,-0.14548214721567698,-12.802428954979575,0.01591666899480992,-0.15983697255373758,0.4318181818181818,3.6438585510874666,-5.029814627843885
CHI,96,0,58,38,80,-0.20012252833568742,-16.009802266854994,-0.15037078103941295,-0.0550918727997891,0.4875,3.1422471098026348,-3.5270695230458333
LAC,96,0,53,43,84,-0.2428360024000222,-20.398224201601867,-0.3397663084245823,0.09343717466046993,0.42857142857142855,3.35255382017729,-3.4726809005764965
GSW,88,1,61,26,77,-0.2468656464838685,-19.008654779257874,-0.3171310294581654,0.07329785357089497,0.44155844155844154,6.0970850061092685,-4.181104749246605
WAS,98,1,50,47,70,-0.24726098838922284,-17.3082691872456,-0.0038040324919527183,-0.24237001114613183,0.4714285714285714,4.4,-4.097007137939781
MIL,111,1,65,45,87,-0.25039527370086784,-21.784388811975504,-0.3134491420073648,0.05895036200584,0.40229885057471265,4.343513718408255,-3.7
ATL,100,0,60,40,74,-0.25182394795422336,-18.63497214861253,-0.09666399368946757,-0.1544032255691131,0.43243243243243246,4.9382485138466,-4.298711625116362
NOP,99,0,54,45,79,-0.3238906326951434,-25.58735998291633,-0.14206266049924035,-0.1858440152642061,0.4050632911392405,3.6806672784113705,-4.083462302077379
LAL,103,0,40,63,87,-0.3714732304203693,-32.318171046572125,-0.46761303883226646,0.10063513066033822,0.3563218390804598,4.147970542901183,-10.12392181485076
DAL,105,0,68,37,84,-0.3865620001373413,-32.471208011536675,-0.41980088786124004,0.0378565634030655,0.39285714285714285,3.8828441754916794,-5.557400722021661
PHI,111,1,53,57,86,-0.5506566716779674,-47.35647376430519,-0.457153994281332,-0.08658003257446084,0.313953488372093,3.945301893514408,-5.627099218746936
