event_id,signing_team,season,player_name,treatment_category,contract_type,contract_years,mis_overall,mis_data_quality
malcolm_delaney_2017_ATL,ATL,2017-18,Malcolm Delaney,re_signed_standard,roster_continuity,3,2.9999999999999996,complete
taurean_prince_2017_ATL,ATL,2017-18,Taurean Prince,re_signed_standard,roster_continuity,3,-0.10698109994891893,complete
dennis_schroder_2017_ATL,ATL,2017-18,Dennis Schroder,re_signed_standard,roster_continuity,3,-0.6346780356539803,complete
mike_muscala_2017_ATL,ATL,2017-18,Mike Muscala,re_signed_standard,roster_continuity,3,-0.8731231994705226,complete
dewayne_dedmon_2017_ATL,ATL,2017-18,Dewayne Dedmon,new_team,team_change,3,-0.979834426203853,complete
kent_bazemore_2017_ATL,ATL,2017-18,Kent Bazemore,re_signed_standard,roster_continuity,3,-1.1867587683051162,complete
miles_plumlee_2017_ATL,ATL,2017-18,Miles Plumlee,new_team,team_change,3,-2.3,complete
deandre_bembry_2017_ATL,ATL,2017-18,DeAndre' Bembry,re_signed_standard,roster_continuity,3,NA,missing_data
nicolas_brussino_2017_ATL,ATL,2017-18,Nicolas Brussino,new_team,team_change,3,NA,missing_data
john_collins_2018_ATL,ATL,2018-19,John Collins,re_signed_standard,roster_continuity,3,2.208293650793651,complete
alex_len_2018_ATL,ATL,2018-19,Alex Len,new_team,team_change,3,0.31974027823594964,complete
taurean_prince_2018_ATL,ATL,2018-19,Taurean Prince,re_signed_standard,roster_continuity,3,-1.0461242870110006,complete
dewayne_dedmon_2018_ATL,ATL,2018-19,Dewayne Dedmon,re_signed_standard,roster_continuity,3,-1.877790190965018,complete
kent_bazemore_2018_ATL,ATL,2018-19,Kent Bazemore,re_signed_standard,roster_continuity,3,-2.0018577627666616,complete
vince_carter_2018_ATL,ATL,2018-19,Vince Carter,new_team,team_change,3,-2.2031840756103627,complete
alex_poythress_2018_ATL,ATL,2018-19,Alex Poythress,new_team,team_change,3,NA,missing_data
deandre_bembry_2018_ATL,ATL,2018-19,DeAndre' Bembry,re_signed_standard,roster_continuity,3,NA,missing_data
deyonta_davis_2018_ATL,ATL,2018-19,Deyonta Davis,new_team,team_change,3,NA,missing_data
justin_anderson_2018_ATL,ATL,2018-19,Justin Anderson,new_team,team_change,3,NA,missing_data
miles_plumlee_2018_ATL,ATL,2018-19,Miles Plumlee,re_signed_standard,roster_continuity,3,NA,missing_data
trae_young_2019_ATL,ATL,2019-20,Trae Young,re_signed_standard,roster_continuity,3,4.9382485138466,complete
john_collins_2019_ATL,ATL,2019-20,John Collins,re_signed_standard,roster_continuity,3,1.8940629485616391,complete
kevin_huerter_2019_ATL,ATL,2019-20,Kevin Huerter,re_signed_standard,roster_continuity,3,1.399110964767863,complete
deandre_bembry_2019_ATL,ATL,2019-20,DeAndre' Bembry,re_signed_standard,roster_continuity,3,0.7341915550978373,complete
jeff_teague_2019_ATL,ATL,2019-20,Jeff Teague,new_team,team_change,3,-1.892623240885047,complete
treveon_graham_2019_ATL,ATL,2019-20,Treveon Graham,new_team,team_change,3,-2.4949008498583565,complete
dewayne_dedmon_2019_ATL,ATL,2019-20,Dewayne Dedmon,re_signed_standard,roster_continuity,3,-3.3244810032082825,complete
vince_carter_2019_ATL,ATL,2019-20,Vince Carter,re_signed_standard,roster_continuity,3,-3.382258064516129,complete
