season,award,team_level,player
2013-14,ALL_NBA,1,Chris Paul
2013-14,ALL_NBA,1,James Harden
2013-14,ALL_NBA,1,Joakim Noah
2013-14,ALL_NBA,1,Kevin Durant
2013-14,ALL_NBA,1,LeBron James
2013-14,ALL_NBA,2,Blake Griffin
2013-14,ALL_NBA,2,Dwight Howard
2013-14,ALL_NBA,2,Kevin Love
2013-14,ALL_NBA,2,Stephen Curry
2013-14,ALL_NBA,2,Tony Parker
2013-14,ALL_NBA,3,Al Jefferson
2013-14,ALL_NBA,3,Damian Lillard
2013-14,ALL_NBA,3,Goran Dragic
2013-14,ALL_NBA,3,LaMarcus Aldridge
2013-14,ALL_NBA,3,Paul George
2013-14,DPOY,,Joakim Noah
2013-14,MVP,,Kevin Durant
2014-15,ALL_NBA,1,Anthony Davis
2014-15,ALL_NBA,1,James Harden
2014-15,ALL_NBA,1,LeBron James
2014-15,ALL_NBA,1,Marc Gasol
2014-15,ALL_NBA,1,Stephen Curry
2014-15,ALL_NBA,2,Chris Paul
2014-15,ALL_NBA,2,DeMarcus Cousins
2014-15,ALL_NBA,2,LaMarcus Aldridge
2014-15,ALL_NBA,2,Pau Gasol
2014-15,ALL_NBA,2,Russell Westbrook
2014-15,ALL_NBA,3,Blake Griffin
2014-15,ALL_NBA,3,DeAndre Jordan
2014-15,ALL_NBA,3,Klay Thompson
2014-15,ALL_NBA,3,Kyrie Irving
2014-15,ALL_NBA,3,Tim Duncan
2014-15,DPOY,,Kawhi Leonard
2014-15,MVP,,Stephen Curry
2015-16,ALL_NBA,1,DeAndre Jordan
2015-16,ALL_NBA,1,Kawhi Leonard
2015-16,ALL_NBA,1,LeBron James
2015-16,ALL_NBA,1,Russell Westbrook
2015-16,ALL_NBA,1,Stephen Curry
2015-16,ALL_NBA,2,Chris Paul
2015-16,ALL_NBA,2,Damian Lillard
2015-16,ALL_NBA,2,DeMarcus Cousins
2015-16,ALL_NBA,2,Draymond Green
2015-16,ALL_NBA,2,Kevin Durant
2015-16,ALL_NBA,3,Andre Drummond
2015-16,ALL_NBA,3,Klay Thompson
2015-16,ALL_NBA,3,Kyle Lowry
2015-16,ALL_NBA,3,LaMarcus Aldridge
2015-16,ALL_NBA,3,Paul George
2015-16,DPOY,,Kawhi Leonard
2015-16,MVP,,Stephen Curry
2016-17,ALL_NBA,1,Anthony Davis
2016-17,ALL_NBA,1,James Harden
2016-17,ALL_NBA,1,Kawhi Leonard
2016-17,ALL_NBA,1,LeBron James
2016-17,ALL_NBA,1,Russell Westbrook
2016-17,ALL_NBA,2,Giannis Antetokounmpo
2016-17,ALL_NBA,2,Isaiah Thomas
2016-17,ALL_NBA,2,Kevin Durant
2016-17,ALL_NBA,2,Rudy Gobert
2016-17,ALL_NBA,2,Stephen Curry
2016-17,ALL_NBA,3,DeAndre Jordan
2016-17,ALL_NBA,3,DeMar DeRozan
2016-17,ALL_NBA,3,Draymond Green
2016-17,ALL_NBA,3,Jimmy Butler
2016-17,ALL_NBA,3,John Wall
2016-17,DPOY,,Draymond Green
2016-17,MVP,,Russell Westbrook
2017-18,ALL_NBA,1,Anthony Davis
2017-18,ALL_NBA,1,Damian Lillard
2017-18,ALL_NBA,1,James Harden
2017-18,ALL_NBA,1,Kevin Durant
2017-18,ALL_NBA,1,LeBron James
